y,x
-71499.625188,14015.574811
-71590.647771,14056.851936
-71681.670354,14098.129061
-71772.692937,14139.406186
-71863.71552,14180.683311
-71954.738103,14221.960436
-72045.760686,14263.23756
-72136.783269,14304.514685
-72227.805852,14345.79181
-72318.828435,14387.068935
-72409.851018,14428.34606
-72500.873601,14469.623185
-72591.896184,14510.900309
-72682.918767,14552.177434
-72773.94135,14593.454559
-72864.963933,14634.731684
-72955.986516,14676.008809
-73047.009099,14717.285934
-73138.031682,14758.563059
-73229.054265,14799.840183
-73318.501198,14844.392993
-73407.94813,14888.945803
-73497.395063,14933.498613
-73586.841995,14978.051423
-73676.288928,15022.604233
-73765.735861,15067.157042
-73855.182793,15111.709852
-73944.629726,15156.262662
-74034.076658,15200.815472
-74123.523591,15245.368282
-74212.970524,15289.921092
-74302.417456,15334.473902
-74391.864389,15379.026711
-74481.311321,15423.579521
-74570.758254,15468.132331
-74660.205187,15512.685141
-74749.652119,15557.237951
-74839.099052,15601.790761
-74928.545984,15646.34357
-75017.992917,15690.89638
-75107.439849,15735.44919
-75196.886782,15780.002
-75286.333715,15824.55481
-75375.780647,15869.10762
-75465.22758,15913.66043
-75554.674512,15958.213239
-75644.121445,16002.766049
-75733.568378,16047.318859
-75823.01531,16091.871669
-75912.462243,16136.424479
-76001.909175,16180.977289
-76091.356108,16225.530098
-76180.80304,16270.082908
-76270.249973,16314.635718
-76359.696906,16359.188528
-76449.143838,16403.741338
-76538.319676,16448.834889
-76627.495513,16493.92844
-76716.671351,16539.021991
-76805.847188,16584.115543
-76895.023025,16629.209094
-76984.198863,16674.302645
-77073.3747,16719.396196
-77162.550538,16764.489747
-77251.726375,16809.583299
-77340.902212,16854.67685
-77430.07805,16899.770401
-77519.253887,16944.863952
-77608.429725,16989.957503
-77697.605562,17035.051055
-77786.7814,17080.144606
-77875.957237,17125.238157
-77965.133074,17170.331708
-78054.308912,17215.425259
-78143.484749,17260.518811
-78232.660587,17305.612362
-78321.836424,17350.705913
-78411.012262,17395.799464
-78500.188099,17440.893015
-78589.363936,17485.986567
-78678.539774,17531.080118
-78767.715611,17576.173669
-78856.891449,17621.26722
-78946.067286,17666.360771
-79035.243124,17711.454323
-79124.990535,17755.437449
-79214.737947,17799.420574
-79304.485359,17843.4037
-79394.23277,17887.386826
-79483.980182,17931.369952
-79573.727594,17975.353078
-79663.475005,18019.336204
-79753.222417,18063.31933
-79842.969829,18107.302456
-79932.71724,18151.285582
-80022.464652,18195.268708
-80112.212064,18239.251833
-80201.959475,18283.234959
-80291.706887,18327.218085
